"","forecast_date","ensemble_member","reference_datetime","Horizon","forecast_variable","value","uc_type"
"1",2023-05-02,1,2023-05-02,0,"fdom",15.7260991999413,"total"
"2",2023-05-03,1,2023-05-02,-1,"fdom",16.0366364255813,"total"
"3",2023-05-04,1,2023-05-02,-2,"fdom",16.1636696823459,"total"
"4",2023-05-05,1,2023-05-02,-3,"fdom",15.1989947143484,"total"
"5",2023-05-06,1,2023-05-02,-4,"fdom",16.0088757152566,"total"
"6",2023-05-07,1,2023-05-02,-5,"fdom",14.7845748288947,"total"
"7",2023-05-08,1,2023-05-02,-6,"fdom",15.4913416905444,"total"
"8",2023-05-09,1,2023-05-02,-7,"fdom",15.1345662228416,"total"
"9",2023-05-10,1,2023-05-02,-8,"fdom",14.9571868727574,"total"
"10",2023-05-11,1,2023-05-02,-9,"fdom",15.6534077957292,"total"
"11",2023-05-12,1,2023-05-02,-10,"fdom",15.2203962902236,"total"
"12",2023-05-13,1,2023-05-02,-11,"fdom",14.8442006945392,"total"
"13",2023-05-14,1,2023-05-02,-12,"fdom",15.4671207568844,"total"
"14",2023-05-15,1,2023-05-02,-13,"fdom",15.8002017154228,"total"
"15",2023-05-16,1,2023-05-02,-14,"fdom",15.6971444931392,"total"
"16",2023-05-17,1,2023-05-02,-15,"fdom",15.0997217937645,"total"
"17",2023-05-18,1,2023-05-02,-16,"fdom",15.835966297696,"total"
"18",2023-05-02,2,2023-05-02,0,"fdom",15.6654261381508,"total"
"19",2023-05-03,2,2023-05-02,-1,"fdom",16.80282999865,"total"
"20",2023-05-04,2,2023-05-02,-2,"fdom",16.4826065383943,"total"
"21",2023-05-05,2,2023-05-02,-3,"fdom",16.184593063808,"total"
"22",2023-05-06,2,2023-05-02,-4,"fdom",16.2980473553936,"total"
"23",2023-05-07,2,2023-05-02,-5,"fdom",16.4216431924176,"total"
"24",2023-05-08,2,2023-05-02,-6,"fdom",16.4345961665401,"total"
"25",2023-05-09,2,2023-05-02,-7,"fdom",15.4931394501246,"total"
"26",2023-05-10,2,2023-05-02,-8,"fdom",14.245001022441,"total"
"27",2023-05-11,2,2023-05-02,-9,"fdom",14.1873580271029,"total"
"28",2023-05-12,2,2023-05-02,-10,"fdom",14.1320543152394,"total"
"29",2023-05-13,2,2023-05-02,-11,"fdom",14.0742299930389,"total"
"30",2023-05-14,2,2023-05-02,-12,"fdom",14.5484058939366,"total"
"31",2023-05-15,2,2023-05-02,-13,"fdom",14.8357674818521,"total"
"32",2023-05-16,2,2023-05-02,-14,"fdom",15.0386320570762,"total"
"33",2023-05-17,2,2023-05-02,-15,"fdom",15.7524382262111,"total"
"34",2023-05-18,2,2023-05-02,-16,"fdom",13.9575256962074,"total"
"35",2023-05-02,3,2023-05-02,0,"fdom",15.6041777151918,"total"
"36",2023-05-03,3,2023-05-02,-1,"fdom",15.9424339907761,"total"
"37",2023-05-04,3,2023-05-02,-2,"fdom",15.1229272773669,"total"
"38",2023-05-05,3,2023-05-02,-3,"fdom",14.3635260300877,"total"
"39",2023-05-06,3,2023-05-02,-4,"fdom",13.3813595004552,"total"
"40",2023-05-07,3,2023-05-02,-5,"fdom",12.7177585079206,"total"
"41",2023-05-08,3,2023-05-02,-6,"fdom",12.755995624333,"total"
"42",2023-05-09,3,2023-05-02,-7,"fdom",11.6790198855295,"total"
