"","forecast_date","ensemble_member","reference_datetime","Horizon","forecast_variable","value","uc_type"
"1",2023-09-27,1,2023-09-27,0,"fdom",15.8190520217484,"total"
"2",2023-09-28,1,2023-09-27,-1,"fdom",14.9054971267389,"total"
"3",2023-09-29,1,2023-09-27,-2,"fdom",14.6592663425919,"total"
"4",2023-09-30,1,2023-09-27,-3,"fdom",15.1128122118311,"total"
"5",2023-10-01,1,2023-09-27,-4,"fdom",15.3885604856409,"total"
"6",2023-10-02,1,2023-09-27,-5,"fdom",15.493218461899,"total"
"7",2023-10-03,1,2023-09-27,-6,"fdom",15.1725720787247,"total"
"8",2023-10-04,1,2023-09-27,-7,"fdom",14.1971943796648,"total"
"9",2023-10-05,1,2023-09-27,-8,"fdom",13.4522160435102,"total"
"10",2023-10-06,1,2023-09-27,-9,"fdom",13.7820217636973,"total"
"11",2023-10-07,1,2023-09-27,-10,"fdom",13.5911035452025,"total"
"12",2023-10-08,1,2023-09-27,-11,"fdom",12.3335801117741,"total"
"13",2023-10-09,1,2023-09-27,-12,"fdom",12.069469946545,"total"
"14",2023-10-10,1,2023-09-27,-13,"fdom",11.7408941118978,"total"
"15",2023-10-11,1,2023-09-27,-14,"fdom",11.7711046384075,"total"
"16",2023-10-12,1,2023-09-27,-15,"fdom",12.1805511331998,"total"
"17",2023-10-13,1,2023-09-27,-16,"fdom",11.9043054560769,"total"
"18",2023-09-27,2,2023-09-27,0,"fdom",15.9067672282469,"total"
"19",2023-09-28,2,2023-09-27,-1,"fdom",16.811238450292,"total"
"20",2023-09-29,2,2023-09-27,-2,"fdom",17.4049175809449,"total"
"21",2023-09-30,2,2023-09-27,-3,"fdom",18.1436939749859,"total"
"22",2023-10-01,2,2023-09-27,-4,"fdom",18.0136098970974,"total"
"23",2023-10-02,2,2023-09-27,-5,"fdom",18.9916237725808,"total"
"24",2023-10-03,2,2023-09-27,-6,"fdom",18.4269275071439,"total"
"25",2023-10-04,2,2023-09-27,-7,"fdom",17.9810490800564,"total"
"26",2023-10-05,2,2023-09-27,-8,"fdom",17.643462467353,"total"
"27",2023-10-06,2,2023-09-27,-9,"fdom",18.5172899066581,"total"
"28",2023-10-07,2,2023-09-27,-10,"fdom",19.4865692486104,"total"
"29",2023-10-08,2,2023-09-27,-11,"fdom",20.2412085374694,"total"
"30",2023-10-09,2,2023-09-27,-12,"fdom",20.4538523522977,"total"
"31",2023-10-10,2,2023-09-27,-13,"fdom",20.7124200570079,"total"
"32",2023-10-11,2,2023-09-27,-14,"fdom",20.9014358614838,"total"
"33",2023-10-12,2,2023-09-27,-15,"fdom",21.0104157960051,"total"
"34",2023-10-13,2,2023-09-27,-16,"fdom",20.6003533439398,"total"
"35",2023-09-27,3,2023-09-27,0,"fdom",15.9842000908859,"total"
"36",2023-09-28,3,2023-09-27,-1,"fdom",15.9096111823393,"total"
"37",2023-09-29,3,2023-09-27,-2,"fdom",14.9401134350985,"total"
"38",2023-09-30,3,2023-09-27,-3,"fdom",15.5863363919292,"total"
"39",2023-10-01,3,2023-09-27,-4,"fdom",15.2719799507312,"total"
"40",2023-10-02,3,2023-09-27,-5,"fdom",15.8614769144971,"total"
"41",2023-10-03,3,2023-09-27,-6,"fdom",15.5422816489453,"total"
"42",2023-10-04,3,2023-09-27,-7,"fdom",15.662261452543,"total"
"43",2023-10-05,3,2023-09-27,-8,"fdom",14.6280724542139,"total"
"44",2023-10-06,3,2023-09-27,-9,"fdom",14.9355614753725,"total"
"45",2023-10-07,3,2023-09-27,-10,"fdom",14.0234131653006,"total"
"46",2023-10-08,3,2023-09-27,-11,"fdom",13.5834364564703,"total"
"47",2023-10-09,3,2023-09-27,-12,"fdom",13.1387426669222,"total"
"48",2023-10-10,3,2023-09-27,-13,"fdom",12.3157741749526,"total"
"49",2023-10-11,3,2023-09-27,-14,"fdom",12.500230664848,"total"
"50",2023-10-12,3,2023-09-27,-15,"fdom",12.4040384430394,"total"
"51",2023-10-13,3,2023-09-27,-16,"fdom",11.7940037091508,"total"
"52",2023-09-27,4,2023-09-27,0,"fdom",15.9135747264133,"total"
"53",2023-09-28,4,2023-09-27,-1,"fdom",16.3659580293946,"total"
"54",2023-09-29,4,2023-09-27,-2,"fdom",17.1986256191915,"total"
"55",2023-09-30,4,2023-09-27,-3,"fdom",17.7834689467379,"total"
"56",2023-10-01,4,2023-09-27,-4,"fdom",18.2963424891206,"total"
"57",2023-10-02,4,2023-09-27,-5,"fdom",18.7300122411216,"total"
"58",2023-10-03,4,2023-09-27,-6,"fdom",18.8384968624977,"total"
"59",2023-10-04,4,2023-09-27,-7,"fdom",19.1172111253344,"total"
"60",2023-10-05,4,2023-09-27,-8,"fdom",19.7824780956731,"total"
"61",2023-10-06,4,2023-09-27,-9,"fdom",19.0361108321781,"total"
"62",2023-10-07,4,2023-09-27,-10,"fdom",19.9452544481255,"total"
"63",2023-10-08,4,2023-09-27,-11,"fdom",20.3194827349885,"total"
"64",2023-10-09,4,2023-09-27,-12,"fdom",20.3489699210069,"total"
"65",2023-10-10,4,2023-09-27,-13,"fdom",20.4467312660507,"total"
"66",2023-10-11,4,2023-09-27,-14,"fdom",21.1662684569427,"total"
"67",2023-10-12,4,2023-09-27,-15,"fdom",20.9902177274391,"total"
"68",2023-10-13,4,2023-09-27,-16,"fdom",21.3999376307325,"total"
"69",2023-09-27,5,2023-09-27,0,"fdom",16.1091392186092,"total"
"70",2023-09-28,5,2023-09-27,-1,"fdom",16.432564140807,"total"
"71",2023-09-29,5,2023-09-27,-2,"fdom",16.2473837459142,"total"
"72",2023-09-30,5,2023-09-27,-3,"fdom",15.6270962014402,"total"
"73",2023-10-01,5,2023-09-27,-4,"fdom",15.231667134935,"total"
"74",2023-10-02,5,2023-09-27,-5,"fdom",14.0206706310293,"total"
"75",2023-10-03,5,2023-09-27,-6,"fdom",13.9696726157315,"total"
"76",2023-10-04,5,2023-09-27,-7,"fdom",13.8281445957317,"total"
"77",2023-10-05,5,2023-09-27,-8,"fdom",13.3250464423922,"total"
"78",2023-10-06,5,2023-09-27,-9,"fdom",12.7041316094858,"total"
"79",2023-10-07,5,2023-09-27,-10,"fdom",12.4203951619547,"total"
"80",2023-10-08,5,2023-09-27,-11,"fdom",12.0689509697066,"total"
"81",2023-10-09,5,2023-09-27,-12,"fdom",10.7643220624233,"total"
