"","forecast_date","ensemble_member","reference_datetime","Horizon","forecast_variable","value","uc_type"
"1",2023-03-21,1,2023-03-21,0,"fdom",10.7147961168004,"total"
"2",2023-03-22,1,2023-03-21,-1,"fdom",10.696273914029,"total"
"3",2023-03-23,1,2023-03-21,-2,"fdom",11.2524336116724,"total"
"4",2023-03-24,1,2023-03-21,-3,"fdom",10.7726270540697,"total"
"5",2023-03-25,1,2023-03-21,-4,"fdom",10.5176702474677,"total"
"6",2023-03-26,1,2023-03-21,-5,"fdom",10.4714022934014,"total"
"7",2023-03-27,1,2023-03-21,-6,"fdom",9.63656796115822,"total"
"8",2023-03-28,1,2023-03-21,-7,"fdom",9.99663125349855,"total"
"9",2023-03-29,1,2023-03-21,-8,"fdom",10.0125024945106,"total"
"10",2023-03-30,1,2023-03-21,-9,"fdom",11.0977668385186,"total"
"11",2023-03-31,1,2023-03-21,-10,"fdom",11.0417023700968,"total"
"12",2023-04-01,1,2023-03-21,-11,"fdom",11.5792000856016,"total"
"13",2023-04-02,1,2023-03-21,-12,"fdom",11.6722444560854,"total"
"14",2023-04-03,1,2023-03-21,-13,"fdom",12.3992852030236,"total"
"15",2023-04-04,1,2023-03-21,-14,"fdom",12.1451935042326,"total"
"16",2023-04-05,1,2023-03-21,-15,"fdom",11.4469511139499,"total"
"17",2023-04-06,1,2023-03-21,-16,"fdom",12.1956392055853,"total"
"18",2023-03-21,2,2023-03-21,0,"fdom",10.8760725572309,"total"
"19",2023-03-22,2,2023-03-21,-1,"fdom",10.0033178987809,"total"
"20",2023-03-23,2,2023-03-21,-2,"fdom",10.8636741892851,"total"
"21",2023-03-24,2,2023-03-21,-3,"fdom",11.2199407707114,"total"
"22",2023-03-25,2,2023-03-21,-4,"fdom",12.3893138938023,"total"
"23",2023-03-26,2,2023-03-21,-5,"fdom",13.1932562992454,"total"
"24",2023-03-27,2,2023-03-21,-6,"fdom",14.1888322801052,"total"
"25",2023-03-28,2,2023-03-21,-7,"fdom",14.600836600189,"total"
"26",2023-03-29,2,2023-03-21,-8,"fdom",14.2768289187814,"total"
"27",2023-03-30,2,2023-03-21,-9,"fdom",14.6585331508357,"total"
"28",2023-03-31,2,2023-03-21,-10,"fdom",14.4915900578513,"total"
"29",2023-04-01,2,2023-03-21,-11,"fdom",14.4385920742483,"total"
"30",2023-04-02,2,2023-03-21,-12,"fdom",13.8193369884312,"total"
"31",2023-04-03,2,2023-03-21,-13,"fdom",13.8941068593321,"total"
"32",2023-04-04,2,2023-03-21,-14,"fdom",13.9878436318261,"total"
"33",2023-04-05,2,2023-03-21,-15,"fdom",14.9226598613022,"total"
"34",2023-04-06,2,2023-03-21,-16,"fdom",14.9414136439039,"total"
"35",2023-03-21,3,2023-03-21,0,"fdom",10.7271931545536,"total"
"36",2023-03-22,3,2023-03-21,-1,"fdom",10.853162607002,"total"
"37",2023-03-23,3,2023-03-21,-2,"fdom",10.7720917353392,"total"
"38",2023-03-24,3,2023-03-21,-3,"fdom",10.2080090410632,"total"
"39",2023-03-25,3,2023-03-21,-4,"fdom",9.76551289152813,"total"
"40",2023-03-26,3,2023-03-21,-5,"fdom",9.60679144431335,"total"
"41",2023-03-27,3,2023-03-21,-6,"fdom",10.0064432227376,"total"
"42",2023-03-28,3,2023-03-21,-7,"fdom",10.1571468281046,"total"
"43",2023-03-29,3,2023-03-21,-8,"fdom",10.8745239368262,"total"
"44",2023-03-30,3,2023-03-21,-9,"fdom",11.1733643025204,"total"
"45",2023-03-31,3,2023-03-21,-10,"fdom",11.110870728669,"total"
"46",2023-04-01,3,2023-03-21,-11,"fdom",10.9932956051058,"total"
"47",2023-04-02,3,2023-03-21,-12,"fdom",10.6853554075656,"total"
"48",2023-04-03,3,2023-03-21,-13,"fdom",10.4617509338634,"total"
"49",2023-04-04,3,2023-03-21,-14,"fdom",10.2993906917075,"total"
"50",2023-04-05,3,2023-03-21,-15,"fdom",9.52188611993531,"total"
"51",2023-04-06,3,2023-03-21,-16,"fdom",9.60779170480544,"total"
"52",2023-03-21,4,2023-03-21,0,"fdom",10.7537432681915,"total"
"53",2023-03-22,4,2023-03-21,-1,"fdom",10.4253786929222,"total"
"54",2023-03-23,4,2023-03-21,-2,"fdom",11.3766352141782,"total"
"55",2023-03-24,4,2023-03-21,-3,"fdom",12.9198017145643,"total"
"56",2023-03-25,4,2023-03-21,-4,"fdom",14.1545635873258,"total"
"57",2023-03-26,4,2023-03-21,-5,"fdom",14.6904789916057,"total"
"58",2023-03-27,4,2023-03-21,-6,"fdom",14.8780643106733,"total"
"59",2023-03-28,4,2023-03-21,-7,"fdom",15.2699849499544,"total"
"60",2023-03-29,4,2023-03-21,-8,"fdom",16.0303212763825,"total"
"61",2023-03-30,4,2023-03-21,-9,"fdom",16.7471988487022,"total"
"62",2023-03-31,4,2023-03-21,-10,"fdom",17.3080454706113,"total"
"63",2023-04-01,4,2023-03-21,-11,"fdom",17.1641358253682,"total"
