"","forecast_date","ensemble_member","reference_datetime","Horizon","forecast_variable","value","uc_type"
"1",2023-04-03,1,2023-04-03,0,"fdom",10.076404312356,"total"
"2",2023-04-04,1,2023-04-03,-1,"fdom",9.93975117728025,"total"
"3",2023-04-05,1,2023-04-03,-2,"fdom",10.53670946397,"total"
"4",2023-04-06,1,2023-04-03,-3,"fdom",10.8307844405955,"total"
"5",2023-04-07,1,2023-04-03,-4,"fdom",12.1131766010339,"total"
"6",2023-04-08,1,2023-04-03,-5,"fdom",10.8255752789426,"total"
"7",2023-04-09,1,2023-04-03,-6,"fdom",11.1079501562035,"total"
"8",2023-04-10,1,2023-04-03,-7,"fdom",10.9254100289065,"total"
"9",2023-04-11,1,2023-04-03,-8,"fdom",9.59232658221738,"total"
"10",2023-04-12,1,2023-04-03,-9,"fdom",9.78271438068202,"total"
"11",2023-04-13,1,2023-04-03,-10,"fdom",10.236248426273,"total"
"12",2023-04-14,1,2023-04-03,-11,"fdom",9.96811902981149,"total"
"13",2023-04-15,1,2023-04-03,-12,"fdom",9.67992207266269,"total"
"14",2023-04-16,1,2023-04-03,-13,"fdom",10.0734423610899,"total"
"15",2023-04-17,1,2023-04-03,-14,"fdom",9.7899979814134,"total"
"16",2023-04-18,1,2023-04-03,-15,"fdom",9.65351776207075,"total"
"17",2023-04-19,1,2023-04-03,-16,"fdom",8.79128837627261,"total"
"18",2023-04-03,2,2023-04-03,0,"fdom",9.89940110058845,"total"
"19",2023-04-04,2,2023-04-03,-1,"fdom",10.0553065551776,"total"
"20",2023-04-05,2,2023-04-03,-2,"fdom",10.6350846607614,"total"
"21",2023-04-06,2,2023-04-03,-3,"fdom",11.0770375159153,"total"
"22",2023-04-07,2,2023-04-03,-4,"fdom",10.7548194660584,"total"
"23",2023-04-08,2,2023-04-03,-5,"fdom",11.2384284909829,"total"
"24",2023-04-09,2,2023-04-03,-6,"fdom",10.5866081669036,"total"
"25",2023-04-10,2,2023-04-03,-7,"fdom",10.1918546951792,"total"
"26",2023-04-11,2,2023-04-03,-8,"fdom",11.088474711274,"total"
"27",2023-04-12,2,2023-04-03,-9,"fdom",11.8298779762885,"total"
"28",2023-04-13,2,2023-04-03,-10,"fdom",11.8613164261219,"total"
"29",2023-04-14,2,2023-04-03,-11,"fdom",12.8216003855993,"total"
"30",2023-04-15,2,2023-04-03,-12,"fdom",12.495139496552,"total"
"31",2023-04-16,2,2023-04-03,-13,"fdom",11.8646256339333,"total"
"32",2023-04-17,2,2023-04-03,-14,"fdom",11.2890057352698,"total"
"33",2023-04-18,2,2023-04-03,-15,"fdom",11.2346253760617,"total"
"34",2023-04-19,2,2023-04-03,-16,"fdom",10.2757175528011,"total"
"35",2023-04-03,3,2023-04-03,0,"fdom",10.0012571849772,"total"
"36",2023-04-04,3,2023-04-03,-1,"fdom",9.18725771512064,"total"
"37",2023-04-05,3,2023-04-03,-2,"fdom",8.40075370343056,"total"
"38",2023-04-06,3,2023-04-03,-3,"fdom",8.32248565029084,"total"
"39",2023-04-07,3,2023-04-03,-4,"fdom",7.51966935395841,"total"
"40",2023-04-08,3,2023-04-03,-5,"fdom",6.82765795106815,"total"
"41",2023-04-09,3,2023-04-03,-6,"fdom",6.67284722052768,"total"
"42",2023-04-10,3,2023-04-03,-7,"fdom",6.22602647561569,"total"
"43",2023-04-11,3,2023-04-03,-8,"fdom",6.22928195053158,"total"
"44",2023-04-12,3,2023-04-03,-9,"fdom",7.05960001322227,"total"
"45",2023-04-13,3,2023-04-03,-10,"fdom",6.84655281466182,"total"
"46",2023-04-14,3,2023-04-03,-11,"fdom",6.32952449394428,"total"
"47",2023-04-15,3,2023-04-03,-12,"fdom",6.58287516255572,"total"
"48",2023-04-16,3,2023-04-03,-13,"fdom",6.21124567425931,"total"
"49",2023-04-17,3,2023-04-03,-14,"fdom",4.65784004661873,"total"
"50",2023-04-18,3,2023-04-03,-15,"fdom",4.16593646951923,"total"
"51",2023-04-19,3,2023-04-03,-16,"fdom",3.85667130769789,"total"
"52",2023-04-03,4,2023-04-03,0,"fdom",10.1157246761265,"total"
"53",2023-04-04,4,2023-04-03,-1,"fdom",9.57950258477597,"total"
