"","forecast_date","ensemble_member","reference_datetime","Horizon","forecast_variable","value","uc_type"
"1",2023-11-26,1,2023-11-26,0,"fdom",16.0027506016105,"total"
"2",2023-11-27,1,2023-11-26,-1,"fdom",15.2343349655388,"total"
"3",2023-11-28,1,2023-11-26,-2,"fdom",14.4801007781643,"total"
"4",2023-11-29,1,2023-11-26,-3,"fdom",15.5458316135681,"total"
"5",2023-11-30,1,2023-11-26,-4,"fdom",15.5205050601938,"total"
"6",2023-12-01,1,2023-11-26,-5,"fdom",15.4462406633769,"total"
"7",2023-12-02,1,2023-11-26,-6,"fdom",14.9813604094135,"total"
"8",2023-12-03,1,2023-11-26,-7,"fdom",14.7632058553162,"total"
"9",2023-12-04,1,2023-11-26,-8,"fdom",14.7814198797015,"total"
"10",2023-12-05,1,2023-11-26,-9,"fdom",14.3648798224773,"total"
"11",2023-12-06,1,2023-11-26,-10,"fdom",14.308799196621,"total"
"12",2023-12-07,1,2023-11-26,-11,"fdom",13.8731936789521,"total"
"13",2023-12-08,1,2023-11-26,-12,"fdom",13.0195755806942,"total"
"14",2023-12-09,1,2023-11-26,-13,"fdom",12.5035527104788,"total"
"15",2023-12-10,1,2023-11-26,-14,"fdom",12.4832941220841,"total"
"16",2023-12-11,1,2023-11-26,-15,"fdom",12.5404216595733,"total"
"17",2023-12-12,1,2023-11-26,-16,"fdom",13.4402098264631,"total"
"18",2023-11-26,2,2023-11-26,0,"fdom",15.7193904813434,"total"
"19",2023-11-27,2,2023-11-26,-1,"fdom",15.1574604922555,"total"
"20",2023-11-28,2,2023-11-26,-2,"fdom",15.5220396271871,"total"
"21",2023-11-29,2,2023-11-26,-3,"fdom",16.7111633537296,"total"
"22",2023-11-30,2,2023-11-26,-4,"fdom",17.3611619293157,"total"
"23",2023-12-01,2,2023-11-26,-5,"fdom",17.4693023071945,"total"
"24",2023-12-02,2,2023-11-26,-6,"fdom",17.4712123605611,"total"
"25",2023-12-03,2,2023-11-26,-7,"fdom",17.1398852388474,"total"
"26",2023-12-04,2,2023-11-26,-8,"fdom",16.5820243076742,"total"
"27",2023-12-05,2,2023-11-26,-9,"fdom",16.7042532088196,"total"
"28",2023-12-06,2,2023-11-26,-10,"fdom",16.3470660535479,"total"
"29",2023-12-07,2,2023-11-26,-11,"fdom",16.3464602519427,"total"
"30",2023-12-08,2,2023-11-26,-12,"fdom",17.3130502998855,"total"
"31",2023-12-09,2,2023-11-26,-13,"fdom",17.9646805746823,"total"
"32",2023-12-10,2,2023-11-26,-14,"fdom",17.7603153138605,"total"
"33",2023-12-11,2,2023-11-26,-15,"fdom",17.8633247054769,"total"
"34",2023-12-12,2,2023-11-26,-16,"fdom",18.3998864232259,"total"
"35",2023-11-26,3,2023-11-26,0,"fdom",15.8443352098579,"total"
"36",2023-11-27,3,2023-11-26,-1,"fdom",15.3223515076714,"total"
"37",2023-11-28,3,2023-11-26,-2,"fdom",14.7023659843806,"total"
"38",2023-11-29,3,2023-11-26,-3,"fdom",13.1894508056001,"total"
"39",2023-11-30,3,2023-11-26,-4,"fdom",12.7287776179272,"total"
"40",2023-12-01,3,2023-11-26,-5,"fdom",12.3796081901863,"total"
"41",2023-12-02,3,2023-11-26,-6,"fdom",13.0452466204375,"total"
"42",2023-12-03,3,2023-11-26,-7,"fdom",13.0230810876801,"total"
"43",2023-12-04,3,2023-11-26,-8,"fdom",13.285409646386,"total"
"44",2023-12-05,3,2023-11-26,-9,"fdom",13.0140599265954,"total"
"45",2023-12-06,3,2023-11-26,-10,"fdom",11.8079576086516,"total"
"46",2023-12-07,3,2023-11-26,-11,"fdom",9.93261323514611,"total"
"47",2023-12-08,3,2023-11-26,-12,"fdom",10.0623950308284,"total"
"48",2023-12-09,3,2023-11-26,-13,"fdom",10.3598131040259,"total"
"49",2023-12-10,3,2023-11-26,-14,"fdom",9.89795197667,"total"
"50",2023-12-11,3,2023-11-26,-15,"fdom",9.44692766939247,"total"
"51",2023-12-12,3,2023-11-26,-16,"fdom",10.2197362222328,"total"
"52",2023-11-26,4,2023-11-26,0,"fdom",16.0324372430965,"total"
"53",2023-11-27,4,2023-11-26,-1,"fdom",16.8894657134347,"total"
"54",2023-11-28,4,2023-11-26,-2,"fdom",17.7536550962377,"total"
"55",2023-11-29,4,2023-11-26,-3,"fdom",17.6037114036261,"total"
"56",2023-11-30,4,2023-11-26,-4,"fdom",17.8981267521141,"total"
"57",2023-12-01,4,2023-11-26,-5,"fdom",18.2239065914505,"total"
"58",2023-12-02,4,2023-11-26,-6,"fdom",18.1737345755437,"total"
"59",2023-12-03,4,2023-11-26,-7,"fdom",18.1553796945144,"total"
"60",2023-12-04,4,2023-11-26,-8,"fdom",18.72062277637,"total"
"61",2023-12-05,4,2023-11-26,-9,"fdom",18.5257266634582,"total"
"62",2023-12-06,4,2023-11-26,-10,"fdom",20.2852889791964,"total"
"63",2023-12-07,4,2023-11-26,-11,"fdom",20.6411816615488,"total"
"64",2023-12-08,4,2023-11-26,-12,"fdom",21.2572120245796,"total"
"65",2023-12-09,4,2023-11-26,-13,"fdom",22.6220812929745,"total"
"66",2023-12-10,4,2023-11-26,-14,"fdom",23.6158054878107,"total"
"67",2023-12-11,4,2023-11-26,-15,"fdom",23.8570984159675,"total"
"68",2023-12-12,4,2023-11-26,-16,"fdom",23.4169315145676,"total"
"69",2023-11-26,5,2023-11-26,0,"fdom",16.0420376008605,"total"
"70",2023-11-27,5,2023-11-26,-1,"fdom",16.1602845748812,"total"
"71",2023-11-28,5,2023-11-26,-2,"fdom",16.491107870003,"total"
"72",2023-11-29,5,2023-11-26,-3,"fdom",16.6494016527642,"total"
"73",2023-11-30,5,2023-11-26,-4,"fdom",16.8458803312494,"total"
"74",2023-12-01,5,2023-11-26,-5,"fdom",16.0850610695959,"total"
"75",2023-12-02,5,2023-11-26,-6,"fdom",15.4453127086012,"total"
"76",2023-12-03,5,2023-11-26,-7,"fdom",15.2685675343054,"total"
"77",2023-12-04,5,2023-11-26,-8,"fdom",15.047373722828,"total"
"78",2023-12-05,5,2023-11-26,-9,"fdom",14.4084436583635,"total"
"79",2023-12-06,5,2023-11-26,-10,"fdom",14.1485888984199,"total"
"80",2023-12-07,5,2023-11-26,-11,"fdom",13.9424768499536,"total"
"81",2023-12-08,5,2023-11-26,-12,"fdom",13.4787518458979,"total"
"82",2023-12-09,5,2023-11-26,-13,"fdom",12.9387154701298,"total"
"83",2023-12-10,5,2023-11-26,-14,"fdom",12.9633115787339,"total"
"84",2023-12-11,5,2023-11-26,-15,"fdom",12.9624000083338,"total"
"85",2023-12-12,5,2023-11-26,-16,"fdom",13.6014122997067,"total"
"86",2023-11-26,6,2023-11-26,0,"fdom",15.8647447608008,"total"
"87",2023-11-27,6,2023-11-26,-1,"fdom",15.667696414962,"total"
"88",2023-11-28,6,2023-11-26,-2,"fdom",16.3869552597678,"total"
"89",2023-11-29,6,2023-11-26,-3,"fdom",16.1382678077393,"total"
"90",2023-11-30,6,2023-11-26,-4,"fdom",17.4534118208844,"total"
"91",2023-12-01,6,2023-11-26,-5,"fdom",17.4001136550553,"total"
"92",2023-12-02,6,2023-11-26,-6,"fdom",16.8544272333133,"total"
