"","forecast_date","ensemble_member","reference_datetime","Horizon","forecast_variable","value","uc_type"
"1",2023-06-07,1,2023-06-07,0,"fdom",18.3259971725127,"total"
"2",2023-06-08,1,2023-06-07,-1,"fdom",18.0559871834944,"total"
"3",2023-06-09,1,2023-06-07,-2,"fdom",17.3265379994498,"total"
"4",2023-06-10,1,2023-06-07,-3,"fdom",17.3938391920951,"total"
"5",2023-06-11,1,2023-06-07,-4,"fdom",16.8746244947275,"total"
"6",2023-06-12,1,2023-06-07,-5,"fdom",17.3698434123754,"total"
"7",2023-06-13,1,2023-06-07,-6,"fdom",16.0702704741758,"total"
"8",2023-06-14,1,2023-06-07,-7,"fdom",15.8515700724553,"total"
"9",2023-06-15,1,2023-06-07,-8,"fdom",15.8173203064771,"total"
"10",2023-06-16,1,2023-06-07,-9,"fdom",15.157899295719,"total"
"11",2023-06-17,1,2023-06-07,-10,"fdom",15.1113399557424,"total"
"12",2023-06-18,1,2023-06-07,-11,"fdom",15.9795800579854,"total"
"13",2023-06-19,1,2023-06-07,-12,"fdom",15.4379282683812,"total"
"14",2023-06-20,1,2023-06-07,-13,"fdom",15.7773502955963,"total"
"15",2023-06-21,1,2023-06-07,-14,"fdom",16.1565389506353,"total"
"16",2023-06-22,1,2023-06-07,-15,"fdom",15.8463810564715,"total"
"17",2023-06-23,1,2023-06-07,-16,"fdom",16.9887960698806,"total"
"18",2023-06-07,2,2023-06-07,0,"fdom",18.3312353293303,"total"
"19",2023-06-08,2,2023-06-07,-1,"fdom",18.8974077717939,"total"
"20",2023-06-09,2,2023-06-07,-2,"fdom",18.8669880068055,"total"
"21",2023-06-10,2,2023-06-07,-3,"fdom",18.9715462598906,"total"
"22",2023-06-11,2,2023-06-07,-4,"fdom",20.578191488176,"total"
"23",2023-06-12,2,2023-06-07,-5,"fdom",20.6065375005964,"total"
"24",2023-06-13,2,2023-06-07,-6,"fdom",20.3500433965587,"total"
"25",2023-06-14,2,2023-06-07,-7,"fdom",20.4917544098484,"total"
"26",2023-06-15,2,2023-06-07,-8,"fdom",21.2450168917511,"total"
"27",2023-06-16,2,2023-06-07,-9,"fdom",20.7146256343757,"total"
"28",2023-06-17,2,2023-06-07,-10,"fdom",21.645818948863,"total"
"29",2023-06-18,2,2023-06-07,-11,"fdom",21.4131321178793,"total"
"30",2023-06-19,2,2023-06-07,-12,"fdom",22.8377653498326,"total"
"31",2023-06-20,2,2023-06-07,-13,"fdom",23.0447071031139,"total"
"32",2023-06-21,2,2023-06-07,-14,"fdom",24.0546679778294,"total"
"33",2023-06-22,2,2023-06-07,-15,"fdom",24.2266729095656,"total"
"34",2023-06-23,2,2023-06-07,-16,"fdom",23.8479634948477,"total"
"35",2023-06-07,3,2023-06-07,0,"fdom",18.3560560490162,"total"
"36",2023-06-08,3,2023-06-07,-1,"fdom",18.2688907026655,"total"
"37",2023-06-09,3,2023-06-07,-2,"fdom",17.440116738596,"total"
"38",2023-06-10,3,2023-06-07,-3,"fdom",16.3018546272006,"total"
"39",2023-06-11,3,2023-06-07,-4,"fdom",16.5233144097531,"total"
"40",2023-06-12,3,2023-06-07,-5,"fdom",16.0457895767825,"total"
"41",2023-06-13,3,2023-06-07,-6,"fdom",15.4123620502154,"total"
"42",2023-06-14,3,2023-06-07,-7,"fdom",14.5127174388399,"total"
"43",2023-06-15,3,2023-06-07,-8,"fdom",14.1301918446065,"total"
"44",2023-06-16,3,2023-06-07,-9,"fdom",13.6851961426138,"total"
"45",2023-06-17,3,2023-06-07,-10,"fdom",13.9274267494621,"total"
"46",2023-06-18,3,2023-06-07,-11,"fdom",13.7472696474354,"total"
"47",2023-06-19,3,2023-06-07,-12,"fdom",13.9497544350938,"total"
