"","forecast_date","ensemble_member","reference_datetime","Horizon","forecast_variable","value","uc_type"
"1",2023-05-11,1,2023-05-11,0,"fdom",17.2753141927118,"total"
"2",2023-05-12,1,2023-05-11,-1,"fdom",17.0462897679989,"total"
"3",2023-05-13,1,2023-05-11,-2,"fdom",17.2942893714889,"total"
"4",2023-05-14,1,2023-05-11,-3,"fdom",17.2181572717352,"total"
"5",2023-05-15,1,2023-05-11,-4,"fdom",16.575584096985,"total"
"6",2023-05-16,1,2023-05-11,-5,"fdom",16.7779954932991,"total"
"7",2023-05-17,1,2023-05-11,-6,"fdom",15.8513963836782,"total"
"8",2023-05-18,1,2023-05-11,-7,"fdom",16.0149933021513,"total"
"9",2023-05-19,1,2023-05-11,-8,"fdom",16.1891866980246,"total"
"10",2023-05-20,1,2023-05-11,-9,"fdom",16.1703797355525,"total"
"11",2023-05-21,1,2023-05-11,-10,"fdom",16.2457410540936,"total"
"12",2023-05-22,1,2023-05-11,-11,"fdom",15.3354005125469,"total"
"13",2023-05-23,1,2023-05-11,-12,"fdom",14.9899773317408,"total"
"14",2023-05-24,1,2023-05-11,-13,"fdom",15.8539903035373,"total"
"15",2023-05-25,1,2023-05-11,-14,"fdom",16.3094098876802,"total"
"16",2023-05-26,1,2023-05-11,-15,"fdom",16.6207697814023,"total"
"17",2023-05-27,1,2023-05-11,-16,"fdom",17.2778853314093,"total"
"18",2023-05-11,2,2023-05-11,0,"fdom",16.9121518185704,"total"
"19",2023-05-12,2,2023-05-11,-1,"fdom",16.379490756729,"total"
"20",2023-05-13,2,2023-05-11,-2,"fdom",15.7557517782473,"total"
"21",2023-05-14,2,2023-05-11,-3,"fdom",15.0257017484123,"total"
"22",2023-05-15,2,2023-05-11,-4,"fdom",14.3986851717023,"total"
"23",2023-05-16,2,2023-05-11,-5,"fdom",14.7961280546457,"total"
"24",2023-05-17,2,2023-05-11,-6,"fdom",14.9323877531836,"total"
"25",2023-05-18,2,2023-05-11,-7,"fdom",14.8575418935946,"total"
"26",2023-05-19,2,2023-05-11,-8,"fdom",15.8445075573719,"total"
