"","forecast_date","ensemble_member","reference_datetime","Horizon","forecast_variable","value","uc_type"
"1",2023-11-04,1,2023-11-04,0,"fdom",14.2533302937693,"total"
"2",2023-11-05,1,2023-11-04,-1,"fdom",14.0800304443223,"total"
"3",2023-11-06,1,2023-11-04,-2,"fdom",14.5810088995391,"total"
"4",2023-11-07,1,2023-11-04,-3,"fdom",14.7893991688013,"total"
"5",2023-11-08,1,2023-11-04,-4,"fdom",14.5742577067987,"total"
"6",2023-11-09,1,2023-11-04,-5,"fdom",14.4713416959957,"total"
"7",2023-11-10,1,2023-11-04,-6,"fdom",13.9613552388007,"total"
"8",2023-11-11,1,2023-11-04,-7,"fdom",14.1165350054569,"total"
"9",2023-11-12,1,2023-11-04,-8,"fdom",13.9205108148595,"total"
"10",2023-11-13,1,2023-11-04,-9,"fdom",13.7513282621347,"total"
"11",2023-11-14,1,2023-11-04,-10,"fdom",14.4984299570145,"total"
"12",2023-11-15,1,2023-11-04,-11,"fdom",14.1443181641727,"total"
"13",2023-11-16,1,2023-11-04,-12,"fdom",14.158334163662,"total"
"14",2023-11-17,1,2023-11-04,-13,"fdom",13.8551562418395,"total"
"15",2023-11-18,1,2023-11-04,-14,"fdom",13.491002754757,"total"
"16",2023-11-19,1,2023-11-04,-15,"fdom",12.7190412769017,"total"
"17",2023-11-20,1,2023-11-04,-16,"fdom",12.2808189578794,"total"
"18",2023-11-04,2,2023-11-04,0,"fdom",14.3624496821882,"total"
"19",2023-11-05,2,2023-11-04,-1,"fdom",15.7255401996184,"total"
"20",2023-11-06,2,2023-11-04,-2,"fdom",16.2347749734206,"total"
"21",2023-11-07,2,2023-11-04,-3,"fdom",16.8454661994682,"total"
"22",2023-11-08,2,2023-11-04,-4,"fdom",17.2203138959982,"total"
"23",2023-11-09,2,2023-11-04,-5,"fdom",16.8830014485959,"total"
"24",2023-11-10,2,2023-11-04,-6,"fdom",17.0953858666116,"total"
"25",2023-11-11,2,2023-11-04,-7,"fdom",16.755930885572,"total"
"26",2023-11-12,2,2023-11-04,-8,"fdom",16.2977281044544,"total"
"27",2023-11-13,2,2023-11-04,-9,"fdom",15.4563431856312,"total"
"28",2023-11-14,2,2023-11-04,-10,"fdom",16.0080984015077,"total"
"29",2023-11-15,2,2023-11-04,-11,"fdom",16.5583402109861,"total"
"30",2023-11-16,2,2023-11-04,-12,"fdom",16.6281174129149,"total"
"31",2023-11-17,2,2023-11-04,-13,"fdom",16.6161343750454,"total"
"32",2023-11-18,2,2023-11-04,-14,"fdom",17.2818644229413,"total"
"33",2023-11-19,2,2023-11-04,-15,"fdom",17.2353587983252,"total"
"34",2023-11-20,2,2023-11-04,-16,"fdom",17.4674042999983,"total"
"35",2023-11-04,3,2023-11-04,0,"fdom",14.2834523961261,"total"
"36",2023-11-05,3,2023-11-04,-1,"fdom",13.4750459539236,"total"
"37",2023-11-06,3,2023-11-04,-2,"fdom",13.6356151492064,"total"
"38",2023-11-07,3,2023-11-04,-3,"fdom",14.0325540053954,"total"
"39",2023-11-08,3,2023-11-04,-4,"fdom",13.9467968143906,"total"
"40",2023-11-09,3,2023-11-04,-5,"fdom",13.9356559308882,"total"
"41",2023-11-10,3,2023-11-04,-6,"fdom",13.6598387032998,"total"
"42",2023-11-11,3,2023-11-04,-7,"fdom",13.3531205917993,"total"
"43",2023-11-12,3,2023-11-04,-8,"fdom",12.787212241666,"total"
"44",2023-11-13,3,2023-11-04,-9,"fdom",12.260239711555,"total"
"45",2023-11-14,3,2023-11-04,-10,"fdom",12.7865883369429,"total"
"46",2023-11-15,3,2023-11-04,-11,"fdom",12.7552029559161,"total"
"47",2023-11-16,3,2023-11-04,-12,"fdom",12.0760711433587,"total"
"48",2023-11-17,3,2023-11-04,-13,"fdom",11.1309456603241,"total"
"49",2023-11-18,3,2023-11-04,-14,"fdom",11.1243425033556,"total"
"50",2023-11-19,3,2023-11-04,-15,"fdom",10.5028871427481,"total"
"51",2023-11-20,3,2023-11-04,-16,"fdom",10.1242476019668,"total"
"52",2023-11-04,4,2023-11-04,0,"fdom",14.2588997028968,"total"
"53",2023-11-05,4,2023-11-04,-1,"fdom",14.6201160594809,"total"
"54",2023-11-06,4,2023-11-04,-2,"fdom",14.7567535585919,"total"
"55",2023-11-07,4,2023-11-04,-3,"fdom",15.0009556020421,"total"
"56",2023-11-08,4,2023-11-04,-4,"fdom",15.5321157631356,"total"
"57",2023-11-09,4,2023-11-04,-5,"fdom",15.9506082530245,"total"
"58",2023-11-10,4,2023-11-04,-6,"fdom",17.5849996279012,"total"
"59",2023-11-11,4,2023-11-04,-7,"fdom",17.3539376367181,"total"
"60",2023-11-12,4,2023-11-04,-8,"fdom",16.7409032575452,"total"
"61",2023-11-13,4,2023-11-04,-9,"fdom",17.0997426035924,"total"
"62",2023-11-14,4,2023-11-04,-10,"fdom",18.4173024476904,"total"
"63",2023-11-15,4,2023-11-04,-11,"fdom",18.9490219916731,"total"
"64",2023-11-16,4,2023-11-04,-12,"fdom",19.2497993388603,"total"
"65",2023-11-17,4,2023-11-04,-13,"fdom",20.3479756557918,"total"
"66",2023-11-18,4,2023-11-04,-14,"fdom",21.6869367595621,"total"
"67",2023-11-19,4,2023-11-04,-15,"fdom",22.3694503041185,"total"
"68",2023-11-20,4,2023-11-04,-16,"fdom",22.6504742427867,"total"
"69",2023-11-04,5,2023-11-04,0,"fdom",14.250890893314,"total"
"70",2023-11-05,5,2023-11-04,-1,"fdom",13.1252552369691,"total"
"71",2023-11-06,5,2023-11-04,-2,"fdom",13.0346052990367,"total"
