"","forecast_date","ensemble_member","reference_datetime","Horizon","forecast_variable","value","uc_type"
"1",2023-01-02,1,2023-01-02,0,"fdom",17.4063521797946,"total"
"2",2023-01-03,1,2023-01-02,-1,"fdom",17.2945399374603,"total"
"3",2023-01-04,1,2023-01-02,-2,"fdom",17.2491614272241,"total"
"4",2023-01-05,1,2023-01-02,-3,"fdom",16.3483789693591,"total"
"5",2023-01-06,1,2023-01-02,-4,"fdom",15.5110250170339,"total"
"6",2023-01-07,1,2023-01-02,-5,"fdom",16.2777031300789,"total"
"7",2023-01-08,1,2023-01-02,-6,"fdom",16.4595347472441,"total"
"8",2023-01-09,1,2023-01-02,-7,"fdom",15.8273270679654,"total"
"9",2023-01-10,1,2023-01-02,-8,"fdom",15.9711567918449,"total"
"10",2023-01-11,1,2023-01-02,-9,"fdom",15.7466300454558,"total"
"11",2023-01-12,1,2023-01-02,-10,"fdom",15.4891116290746,"total"
"12",2023-01-13,1,2023-01-02,-11,"fdom",14.656499475035,"total"
"13",2023-01-14,1,2023-01-02,-12,"fdom",13.1448016555882,"total"
"14",2023-01-15,1,2023-01-02,-13,"fdom",13.8533591813106,"total"
"15",2023-01-16,1,2023-01-02,-14,"fdom",14.8006076609384,"total"
"16",2023-01-17,1,2023-01-02,-15,"fdom",15.1578613306948,"total"
"17",2023-01-18,1,2023-01-02,-16,"fdom",15.0675826817362,"total"
"18",2023-01-02,2,2023-01-02,0,"fdom",17.4688144690532,"total"
"19",2023-01-03,2,2023-01-02,-1,"fdom",16.9091471054178,"total"
"20",2023-01-04,2,2023-01-02,-2,"fdom",16.8135821788189,"total"
"21",2023-01-05,2,2023-01-02,-3,"fdom",16.9415483848787,"total"
"22",2023-01-06,2,2023-01-02,-4,"fdom",16.1523772264386,"total"
"23",2023-01-07,2,2023-01-02,-5,"fdom",15.8140066658159,"total"
"24",2023-01-08,2,2023-01-02,-6,"fdom",16.5582148490842,"total"
"25",2023-01-09,2,2023-01-02,-7,"fdom",16.1189134200067,"total"
"26",2023-01-10,2,2023-01-02,-8,"fdom",16.6831950171127,"total"
"27",2023-01-11,2,2023-01-02,-9,"fdom",17.0548341605449,"total"
"28",2023-01-12,2,2023-01-02,-10,"fdom",16.1582381621134,"total"
"29",2023-01-13,2,2023-01-02,-11,"fdom",16.3432914094984,"total"
"30",2023-01-14,2,2023-01-02,-12,"fdom",16.5315507334519,"total"
"31",2023-01-15,2,2023-01-02,-13,"fdom",16.036932922569,"total"
"32",2023-01-16,2,2023-01-02,-14,"fdom",16.6665482242048,"total"
"33",2023-01-17,2,2023-01-02,-15,"fdom",16.3117563078492,"total"
"34",2023-01-18,2,2023-01-02,-16,"fdom",16.188514438149,"total"
"35",2023-01-02,3,2023-01-02,0,"fdom",17.350454444173,"total"
"36",2023-01-03,3,2023-01-02,-1,"fdom",16.752935204876,"total"
"37",2023-01-04,3,2023-01-02,-2,"fdom",17.4204590437854,"total"
"38",2023-01-05,3,2023-01-02,-3,"fdom",17.0501008642486,"total"
"39",2023-01-06,3,2023-01-02,-4,"fdom",17.5251591887553,"total"
"40",2023-01-07,3,2023-01-02,-5,"fdom",17.7654164354613,"total"
"41",2023-01-08,3,2023-01-02,-6,"fdom",16.671482432449,"total"
"42",2023-01-09,3,2023-01-02,-7,"fdom",17.2147480610374,"total"
"43",2023-01-10,3,2023-01-02,-8,"fdom",18.5099149892607,"total"
"44",2023-01-11,3,2023-01-02,-9,"fdom",19.0958045239612,"total"
"45",2023-01-12,3,2023-01-02,-10,"fdom",19.3855582101437,"total"
"46",2023-01-13,3,2023-01-02,-11,"fdom",19.5505688936705,"total"
"47",2023-01-14,3,2023-01-02,-12,"fdom",18.7115084161076,"total"
"48",2023-01-15,3,2023-01-02,-13,"fdom",17.853392312424,"total"
"49",2023-01-16,3,2023-01-02,-14,"fdom",17.6545656111233,"total"
"50",2023-01-17,3,2023-01-02,-15,"fdom",17.1020536431442,"total"
"51",2023-01-18,3,2023-01-02,-16,"fdom",17.0349181447275,"total"
"52",2023-01-02,4,2023-01-02,0,"fdom",17.3301558743383,"total"
"53",2023-01-03,4,2023-01-02,-1,"fdom",17.6165039908044,"total"
"54",2023-01-04,4,2023-01-02,-2,"fdom",16.8567508725812,"total"
"55",2023-01-05,4,2023-01-02,-3,"fdom",17.5903139648835,"total"
"56",2023-01-06,4,2023-01-02,-4,"fdom",18.0077635404273,"total"
"57",2023-01-07,4,2023-01-02,-5,"fdom",18.231642218503,"total"
"58",2023-01-08,4,2023-01-02,-6,"fdom",18.0344455067577,"total"
"59",2023-01-09,4,2023-01-02,-7,"fdom",18.0660821815217,"total"
"60",2023-01-10,4,2023-01-02,-8,"fdom",18.0337801884668,"total"
"61",2023-01-11,4,2023-01-02,-9,"fdom",17.2226975116679,"total"
"62",2023-01-12,4,2023-01-02,-10,"fdom",16.9005533174703,"total"
"63",2023-01-13,4,2023-01-02,-11,"fdom",17.4877505708708,"total"
"64",2023-01-14,4,2023-01-02,-12,"fdom",16.9562398905336,"total"
"65",2023-01-15,4,2023-01-02,-13,"fdom",16.0577974545254,"total"
"66",2023-01-16,4,2023-01-02,-14,"fdom",15.6241836940173,"total"
"67",2023-01-17,4,2023-01-02,-15,"fdom",15.6910358590263,"total"
"68",2023-01-18,4,2023-01-02,-16,"fdom",14.9447661913178,"total"
"69",2023-01-02,5,2023-01-02,0,"fdom",17.4770736327376,"total"
"70",2023-01-03,5,2023-01-02,-1,"fdom",17.7059787212151,"total"
"71",2023-01-04,5,2023-01-02,-2,"fdom",18.0398635065339,"total"
"72",2023-01-05,5,2023-01-02,-3,"fdom",18.4429334284455,"total"
"73",2023-01-06,5,2023-01-02,-4,"fdom",18.8973072529822,"total"
"74",2023-01-07,5,2023-01-02,-5,"fdom",19.2626319475094,"total"
"75",2023-01-08,5,2023-01-02,-6,"fdom",18.8063430955747,"total"
"76",2023-01-09,5,2023-01-02,-7,"fdom",18.2531057474539,"total"
"77",2023-01-10,5,2023-01-02,-8,"fdom",18.4392791674376,"total"
"78",2023-01-11,5,2023-01-02,-9,"fdom",18.1556218524604,"total"
"79",2023-01-12,5,2023-01-02,-10,"fdom",18.4873959271611,"total"
"80",2023-01-13,5,2023-01-02,-11,"fdom",17.6741134522805,"total"
"81",2023-01-14,5,2023-01-02,-12,"fdom",19.3410116324404,"total"
"82",2023-01-15,5,2023-01-02,-13,"fdom",19.6225219795923,"total"
"83",2023-01-16,5,2023-01-02,-14,"fdom",19.9124736588733,"total"
"84",2023-01-17,5,2023-01-02,-15,"fdom",20.2523664259493,"total"
"85",2023-01-18,5,2023-01-02,-16,"fdom",20.1638608978414,"total"
"86",2023-01-02,6,2023-01-02,0,"fdom",17.3943496025881,"total"
"87",2023-01-03,6,2023-01-02,-1,"fdom",17.3384955334031,"total"
"88",2023-01-04,6,2023-01-02,-2,"fdom",17.7976594198572,"total"
"89",2023-01-05,6,2023-01-02,-3,"fdom",18.1793223620976,"total"
"90",2023-01-06,6,2023-01-02,-4,"fdom",18.3779994278979,"total"
"91",2023-01-07,6,2023-01-02,-5,"fdom",17.9137217082893,"total"
"92",2023-01-08,6,2023-01-02,-6,"fdom",18.4112774019563,"total"
"93",2023-01-09,6,2023-01-02,-7,"fdom",18.6561372614353,"total"
"94",2023-01-10,6,2023-01-02,-8,"fdom",18.9098453960579,"total"
"95",2023-01-11,6,2023-01-02,-9,"fdom",19.6817828579419,"total"
"96",2023-01-12,6,2023-01-02,-10,"fdom",19.3265133189981,"total"
"97",2023-01-13,6,2023-01-02,-11,"fdom",19.1425016990738,"total"
"98",2023-01-14,6,2023-01-02,-12,"fdom",19.2085903139921,"total"
"99",2023-01-15,6,2023-01-02,-13,"fdom",19.483254056533,"total"
"100",2023-01-16,6,2023-01-02,-14,"fdom",19.7865397537756,"total"
"101",2023-01-17,6,2023-01-02,-15,"fdom",19.839165259948,"total"
"102",2023-01-18,6,2023-01-02,-16,"fdom",19.2987020035381,"total"
"103",2023-01-02,7,2023-01-02,0,"fdom",17.196396754533,"total"
"104",2023-01-03,7,2023-01-02,-1,"fdom",17.0931724545767,"total"
"105",2023-01-04,7,2023-01-02,-2,"fdom",17.7320608740767,"total"
"106",2023-01-05,7,2023-01-02,-3,"fdom",18.3707884659547,"total"
"107",2023-01-06,7,2023-01-02,-4,"fdom",18.3850100171782,"total"
"108",2023-01-07,7,2023-01-02,-5,"fdom",19.0726382726463,"total"
"109",2023-01-08,7,2023-01-02,-6,"fdom",18.9229626415557,"total"
"110",2023-01-09,7,2023-01-02,-7,"fdom",19.101976811898,"total"
"111",2023-01-10,7,2023-01-02,-8,"fdom",18.6807468733025,"total"
"112",2023-01-11,7,2023-01-02,-9,"fdom",18.9088580562802,"total"
"113",2023-01-12,7,2023-01-02,-10,"fdom",18.619206334268,"total"
"114",2023-01-13,7,2023-01-02,-11,"fdom",19.3541648263542,"total"
"115",2023-01-14,7,2023-01-02,-12,"fdom",19.1646727912323,"total"
"116",2023-01-15,7,2023-01-02,-13,"fdom",18.4834532240137,"total"
"117",2023-01-16,7,2023-01-02,-14,"fdom",18.28153254395,"total"
"118",2023-01-17,7,2023-01-02,-15,"fdom",17.630814403027,"total"
"119",2023-01-18,7,2023-01-02,-16,"fdom",16.8744572413607,"total"
"120",2023-01-02,8,2023-01-02,0,"fdom",17.4554068991617,"total"
"121",2023-01-03,8,2023-01-02,-1,"fdom",16.8897592723006,"total"
"122",2023-01-04,8,2023-01-02,-2,"fdom",15.9767017840462,"total"
"123",2023-01-05,8,2023-01-02,-3,"fdom",15.5680529084664,"total"
"124",2023-01-06,8,2023-01-02,-4,"fdom",14.2021655034173,"total"
"125",2023-01-07,8,2023-01-02,-5,"fdom",14.1040260546628,"total"
"126",2023-01-08,8,2023-01-02,-6,"fdom",13.9664629886659,"total"
"127",2023-01-09,8,2023-01-02,-7,"fdom",13.3760060144134,"total"
"128",2023-01-10,8,2023-01-02,-8,"fdom",13.7584638114452,"total"
"129",2023-01-11,8,2023-01-02,-9,"fdom",13.7160346321094,"total"
"130",2023-01-12,8,2023-01-02,-10,"fdom",13.4864114481706,"total"
