"","forecast_date","ensemble_member","reference_datetime","Horizon","forecast_variable","value","uc_type"
"1",2023-01-13,1,2023-01-13,0,"fdom",16.6858252054294,"total"
"2",2023-01-14,1,2023-01-13,-1,"fdom",16.3842963439985,"total"
"3",2023-01-15,1,2023-01-13,-2,"fdom",15.6705017939038,"total"
"4",2023-01-16,1,2023-01-13,-3,"fdom",15.1848758026209,"total"
"5",2023-01-17,1,2023-01-13,-4,"fdom",14.2106643422507,"total"
"6",2023-01-18,1,2023-01-13,-5,"fdom",14.1178411480394,"total"
"7",2023-01-19,1,2023-01-13,-6,"fdom",13.2544525493209,"total"
"8",2023-01-20,1,2023-01-13,-7,"fdom",13.1347489669874,"total"
"9",2023-01-21,1,2023-01-13,-8,"fdom",12.788042415711,"total"
"10",2023-01-22,1,2023-01-13,-9,"fdom",12.3684966738857,"total"
"11",2023-01-23,1,2023-01-13,-10,"fdom",11.8295098221611,"total"
"12",2023-01-24,1,2023-01-13,-11,"fdom",10.7613811592974,"total"
"13",2023-01-25,1,2023-01-13,-12,"fdom",10.1685344658079,"total"
"14",2023-01-26,1,2023-01-13,-13,"fdom",10.3677606840384,"total"
"15",2023-01-27,1,2023-01-13,-14,"fdom",9.54833090725488,"total"
"16",2023-01-28,1,2023-01-13,-15,"fdom",10.0504497453174,"total"
"17",2023-01-29,1,2023-01-13,-16,"fdom",10.2901031923955,"total"
"18",2023-01-13,2,2023-01-13,0,"fdom",16.5663977475584,"total"
"19",2023-01-14,2,2023-01-13,-1,"fdom",16.1674461577993,"total"
"20",2023-01-15,2,2023-01-13,-2,"fdom",15.9491547015379,"total"
"21",2023-01-16,2,2023-01-13,-3,"fdom",15.6883520294869,"total"
"22",2023-01-17,2,2023-01-13,-4,"fdom",15.137678681516,"total"
"23",2023-01-18,2,2023-01-13,-5,"fdom",15.2672346632938,"total"
"24",2023-01-19,2,2023-01-13,-6,"fdom",15.6706350607542,"total"
"25",2023-01-20,2,2023-01-13,-7,"fdom",15.7487292737338,"total"
"26",2023-01-21,2,2023-01-13,-8,"fdom",16.5158247526692,"total"
"27",2023-01-22,2,2023-01-13,-9,"fdom",16.2155832094988,"total"
"28",2023-01-23,2,2023-01-13,-10,"fdom",15.4426010780042,"total"
"29",2023-01-24,2,2023-01-13,-11,"fdom",14.5420695248466,"total"
"30",2023-01-25,2,2023-01-13,-12,"fdom",15.019260916628,"total"
"31",2023-01-26,2,2023-01-13,-13,"fdom",14.2580479813863,"total"
"32",2023-01-27,2,2023-01-13,-14,"fdom",12.465495328237,"total"
"33",2023-01-28,2,2023-01-13,-15,"fdom",12.5233829217028,"total"
"34",2023-01-29,2,2023-01-13,-16,"fdom",13.0214071062448,"total"
"35",2023-01-13,3,2023-01-13,0,"fdom",16.620267603295,"total"
"36",2023-01-14,3,2023-01-13,-1,"fdom",16.7241084983523,"total"
"37",2023-01-15,3,2023-01-13,-2,"fdom",16.4096998459817,"total"
"38",2023-01-16,3,2023-01-13,-3,"fdom",16.9947864408025,"total"
"39",2023-01-17,3,2023-01-13,-4,"fdom",18.4644332568347,"total"
"40",2023-01-18,3,2023-01-13,-5,"fdom",18.1880396683775,"total"
