"","forecast_date","ensemble_member","reference_datetime","Horizon","forecast_variable","value","uc_type"
"1",2023-01-28,1,2023-01-28,0,"fdom",15.696256900263,"total"
"2",2023-01-29,1,2023-01-28,-1,"fdom",15.8296296649137,"total"
"3",2023-01-30,1,2023-01-28,-2,"fdom",15.1846057841054,"total"
"4",2023-01-31,1,2023-01-28,-3,"fdom",15.9478960712062,"total"
"5",2023-02-01,1,2023-01-28,-4,"fdom",16.1797509328706,"total"
"6",2023-02-02,1,2023-01-28,-5,"fdom",15.8138135771795,"total"
"7",2023-02-03,1,2023-01-28,-6,"fdom",16.0024754641737,"total"
"8",2023-02-04,1,2023-01-28,-7,"fdom",15.9367606059598,"total"
"9",2023-02-05,1,2023-01-28,-8,"fdom",16.7948588070414,"total"
"10",2023-02-06,1,2023-01-28,-9,"fdom",16.02954069329,"total"
"11",2023-02-07,1,2023-01-28,-10,"fdom",16.2625050760359,"total"
"12",2023-02-08,1,2023-01-28,-11,"fdom",16.7851726213397,"total"
"13",2023-02-09,1,2023-01-28,-12,"fdom",16.4445673598007,"total"
"14",2023-02-10,1,2023-01-28,-13,"fdom",16.7644434641559,"total"
"15",2023-02-11,1,2023-01-28,-14,"fdom",16.168566036607,"total"
"16",2023-02-12,1,2023-01-28,-15,"fdom",15.9560090085895,"total"
"17",2023-02-13,1,2023-01-28,-16,"fdom",15.0841171776371,"total"
"18",2023-01-28,2,2023-01-28,0,"fdom",15.6846393282272,"total"
"19",2023-01-29,2,2023-01-28,-1,"fdom",14.8381655096394,"total"
"20",2023-01-30,2,2023-01-28,-2,"fdom",14.3036559773403,"total"
"21",2023-01-31,2,2023-01-28,-3,"fdom",13.3098808096518,"total"
"22",2023-02-01,2,2023-01-28,-4,"fdom",13.5172873963739,"total"
"23",2023-02-02,2,2023-01-28,-5,"fdom",13.5476169949372,"total"
"24",2023-02-03,2,2023-01-28,-6,"fdom",14.0222108845222,"total"
"25",2023-02-04,2,2023-01-28,-7,"fdom",13.9584879295409,"total"
"26",2023-02-05,2,2023-01-28,-8,"fdom",14.6148309152125,"total"
"27",2023-02-06,2,2023-01-28,-9,"fdom",14.3573001926268,"total"
"28",2023-02-07,2,2023-01-28,-10,"fdom",14.0100898262829,"total"
"29",2023-02-08,2,2023-01-28,-11,"fdom",13.6196450741455,"total"
"30",2023-02-09,2,2023-01-28,-12,"fdom",14.118553081962,"total"
"31",2023-02-10,2,2023-01-28,-13,"fdom",15.261265453347,"total"
"32",2023-02-11,2,2023-01-28,-14,"fdom",15.0835007409861,"total"
"33",2023-02-12,2,2023-01-28,-15,"fdom",14.3456140494731,"total"
"34",2023-02-13,2,2023-01-28,-16,"fdom",14.6954208328492,"total"
"35",2023-01-28,3,2023-01-28,0,"fdom",15.6841985491842,"total"
"36",2023-01-29,3,2023-01-28,-1,"fdom",16.1237446237859,"total"
"37",2023-01-30,3,2023-01-28,-2,"fdom",15.8526653835449,"total"
"38",2023-01-31,3,2023-01-28,-3,"fdom",16.2435367602518,"total"
"39",2023-02-01,3,2023-01-28,-4,"fdom",17.1493518248509,"total"
"40",2023-02-02,3,2023-01-28,-5,"fdom",16.2903921032514,"total"
"41",2023-02-03,3,2023-01-28,-6,"fdom",17.0460524989145,"total"
"42",2023-02-04,3,2023-01-28,-7,"fdom",16.1174484641982,"total"
"43",2023-02-05,3,2023-01-28,-8,"fdom",16.0519708008584,"total"
"44",2023-02-06,3,2023-01-28,-9,"fdom",15.0549434662005,"total"
"45",2023-02-07,3,2023-01-28,-10,"fdom",14.2709921893481,"total"
"46",2023-02-08,3,2023-01-28,-11,"fdom",13.8586152737386,"total"
"47",2023-02-09,3,2023-01-28,-12,"fdom",14.3936430053892,"total"
"48",2023-02-10,3,2023-01-28,-13,"fdom",13.8091433596974,"total"
"49",2023-02-11,3,2023-01-28,-14,"fdom",13.3885717707866,"total"
"50",2023-02-12,3,2023-01-28,-15,"fdom",12.2462708815793,"total"
"51",2023-02-13,3,2023-01-28,-16,"fdom",11.5761119797629,"total"
"52",2023-01-28,4,2023-01-28,0,"fdom",15.478699188335,"total"
"53",2023-01-29,4,2023-01-28,-1,"fdom",15.6702192293468,"total"
"54",2023-01-30,4,2023-01-28,-2,"fdom",15.5298919318784,"total"
"55",2023-01-31,4,2023-01-28,-3,"fdom",15.4291408082458,"total"
"56",2023-02-01,4,2023-01-28,-4,"fdom",15.0845886439183,"total"
"57",2023-02-02,4,2023-01-28,-5,"fdom",14.7584515031599,"total"
"58",2023-02-03,4,2023-01-28,-6,"fdom",14.8706420532551,"total"
"59",2023-02-04,4,2023-01-28,-7,"fdom",14.7651930693521,"total"
"60",2023-02-05,4,2023-01-28,-8,"fdom",14.9928468255174,"total"
"61",2023-02-06,4,2023-01-28,-9,"fdom",14.7110431290635,"total"
"62",2023-02-07,4,2023-01-28,-10,"fdom",14.3791177893208,"total"
"63",2023-02-08,4,2023-01-28,-11,"fdom",13.9773644164204,"total"
"64",2023-02-09,4,2023-01-28,-12,"fdom",14.9913281129123,"total"
"65",2023-02-10,4,2023-01-28,-13,"fdom",14.9892840256923,"total"
"66",2023-02-11,4,2023-01-28,-14,"fdom",15.3286229534224,"total"
"67",2023-02-12,4,2023-01-28,-15,"fdom",15.3141544844186,"total"
"68",2023-02-13,4,2023-01-28,-16,"fdom",15.9651936534126,"total"
"69",2023-01-28,5,2023-01-28,0,"fdom",15.6147516964992,"total"
"70",2023-01-29,5,2023-01-28,-1,"fdom",15.165834413615,"total"
"71",2023-01-30,5,2023-01-28,-2,"fdom",15.5404647435795,"total"
"72",2023-01-31,5,2023-01-28,-3,"fdom",15.498888851852,"total"
"73",2023-02-01,5,2023-01-28,-4,"fdom",15.2053032214031,"total"
"74",2023-02-02,5,2023-01-28,-5,"fdom",14.8620131336365,"total"
"75",2023-02-03,5,2023-01-28,-6,"fdom",14.9429444825088,"total"
"76",2023-02-04,5,2023-01-28,-7,"fdom",15.2177464758017,"total"
"77",2023-02-05,5,2023-01-28,-8,"fdom",15.900128686193,"total"
"78",2023-02-06,5,2023-01-28,-9,"fdom",16.2268859161733,"total"
"79",2023-02-07,5,2023-01-28,-10,"fdom",15.646409985592,"total"
"80",2023-02-08,5,2023-01-28,-11,"fdom",15.8361182297441,"total"
"81",2023-02-09,5,2023-01-28,-12,"fdom",15.6362274591688,"total"
"82",2023-02-10,5,2023-01-28,-13,"fdom",15.5040439818583,"total"
"83",2023-02-11,5,2023-01-28,-14,"fdom",14.3450364669433,"total"
"84",2023-02-12,5,2023-01-28,-15,"fdom",14.8248917807868,"total"
"85",2023-02-13,5,2023-01-28,-16,"fdom",15.2455204507252,"total"
"86",2023-01-28,6,2023-01-28,0,"fdom",15.6733791522877,"total"
"87",2023-01-29,6,2023-01-28,-1,"fdom",15.8252363426328,"total"
"88",2023-01-30,6,2023-01-28,-2,"fdom",16.1788711579047,"total"
"89",2023-01-31,6,2023-01-28,-3,"fdom",17.641049047497,"total"
"90",2023-02-01,6,2023-01-28,-4,"fdom",18.082899483267,"total"
"91",2023-02-02,6,2023-01-28,-5,"fdom",18.3776927145722,"total"
"92",2023-02-03,6,2023-01-28,-6,"fdom",17.7769562896039,"total"
"93",2023-02-04,6,2023-01-28,-7,"fdom",17.9713590223094,"total"
"94",2023-02-05,6,2023-01-28,-8,"fdom",18.5155748704228,"total"
"95",2023-02-06,6,2023-01-28,-9,"fdom",19.0663699605232,"total"
"96",2023-02-07,6,2023-01-28,-10,"fdom",19.6780527638058,"total"
"97",2023-02-08,6,2023-01-28,-11,"fdom",20.4886748428063,"total"
"98",2023-02-09,6,2023-01-28,-12,"fdom",19.8626060420082,"total"
"99",2023-02-10,6,2023-01-28,-13,"fdom",19.7075174443961,"total"
"100",2023-02-11,6,2023-01-28,-14,"fdom",20.4117150962134,"total"
"101",2023-02-12,6,2023-01-28,-15,"fdom",20.7421501609562,"total"
"102",2023-02-13,6,2023-01-28,-16,"fdom",21.8897999334928,"total"
"103",2023-01-28,7,2023-01-28,0,"fdom",15.538928675615,"total"
"104",2023-01-29,7,2023-01-28,-1,"fdom",15.1857099544526,"total"
"105",2023-01-30,7,2023-01-28,-2,"fdom",14.6971496991179,"total"
"106",2023-01-31,7,2023-01-28,-3,"fdom",14.8883679793274,"total"
"107",2023-02-01,7,2023-01-28,-4,"fdom",14.037130920829,"total"
"108",2023-02-02,7,2023-01-28,-5,"fdom",14.0521728277888,"total"
"109",2023-02-03,7,2023-01-28,-6,"fdom",13.9155848115015,"total"
"110",2023-02-04,7,2023-01-28,-7,"fdom",13.6935233491189,"total"
"111",2023-02-05,7,2023-01-28,-8,"fdom",13.5564382769396,"total"
"112",2023-02-06,7,2023-01-28,-9,"fdom",12.9510598032057,"total"
"113",2023-02-07,7,2023-01-28,-10,"fdom",12.6948150962201,"total"
"114",2023-02-08,7,2023-01-28,-11,"fdom",13.4902062804592,"total"
"115",2023-02-09,7,2023-01-28,-12,"fdom",13.7444002651897,"total"
"116",2023-02-10,7,2023-01-28,-13,"fdom",13.5945019440765,"total"
"117",2023-02-11,7,2023-01-28,-14,"fdom",13.9326702535417,"total"
"118",2023-02-12,7,2023-01-28,-15,"fdom",12.7031737932251,"total"
"119",2023-02-13,7,2023-01-28,-16,"fdom",11.7363116767628,"total"
"120",2023-01-28,8,2023-01-28,0,"fdom",15.6723843677084,"total"
"121",2023-01-29,8,2023-01-28,-1,"fdom",15.3140398960853,"total"
"122",2023-01-30,8,2023-01-28,-2,"fdom",14.7690699186086,"total"
"123",2023-01-31,8,2023-01-28,-3,"fdom",15.254681631024,"total"
"124",2023-02-01,8,2023-01-28,-4,"fdom",15.6662956812228,"total"
"125",2023-02-02,8,2023-01-28,-5,"fdom",15.1865207116421,"total"
"126",2023-02-03,8,2023-01-28,-6,"fdom",15.3024386084458,"total"
"127",2023-02-04,8,2023-01-28,-7,"fdom",14.3664342878054,"total"
"128",2023-02-05,8,2023-01-28,-8,"fdom",14.267638551787,"total"
"129",2023-02-06,8,2023-01-28,-9,"fdom",14.8392133570183,"total"
"130",2023-02-07,8,2023-01-28,-10,"fdom",15.3851961423737,"total"
"131",2023-02-08,8,2023-01-28,-11,"fdom",14.8801234246798,"total"
"132",2023-02-09,8,2023-01-28,-12,"fdom",14.2419020148612,"total"
"133",2023-02-10,8,2023-01-28,-13,"fdom",14.643588170694,"total"
"134",2023-02-11,8,2023-01-28,-14,"fdom",14.5809141712801,"total"
"135",2023-02-12,8,2023-01-28,-15,"fdom",14.0979113458306,"total"
"136",2023-02-13,8,2023-01-28,-16,"fdom",14.7846729454643,"total"
"137",2023-01-28,9,2023-01-28,0,"fdom",15.6205754703639,"total"
"138",2023-01-29,9,2023-01-28,-1,"fdom",15.8733814914804,"total"
"139",2023-01-30,9,2023-01-28,-2,"fdom",15.2508392125048,"total"
"140",2023-01-31,9,2023-01-28,-3,"fdom",16.028457233883,"total"
"141",2023-02-01,9,2023-01-28,-4,"fdom",15.8180268633193,"total"
"142",2023-02-02,9,2023-01-28,-5,"fdom",15.3706315958028,"total"
"143",2023-02-03,9,2023-01-28,-6,"fdom",15.8962198186862,"total"
"144",2023-02-04,9,2023-01-28,-7,"fdom",15.2117225062256,"total"
"145",2023-02-05,9,2023-01-28,-8,"fdom",15.2515720743668,"total"
"146",2023-02-06,9,2023-01-28,-9,"fdom",16.203719441399,"total"
"147",2023-02-07,9,2023-01-28,-10,"fdom",15.3181300383438,"total"
"148",2023-02-08,9,2023-01-28,-11,"fdom",15.1674213696998,"total"
"149",2023-02-09,9,2023-01-28,-12,"fdom",14.4120521894347,"total"
"150",2023-02-10,9,2023-01-28,-13,"fdom",13.9771523606966,"total"
"151",2023-02-11,9,2023-01-28,-14,"fdom",13.7893373298752,"total"
"152",2023-02-12,9,2023-01-28,-15,"fdom",13.587676037983,"total"
"153",2023-02-13,9,2023-01-28,-16,"fdom",14.2637714723477,"total"
"154",2023-01-28,10,2023-01-28,0,"fdom",15.6514167256774,"total"
"155",2023-01-29,10,2023-01-28,-1,"fdom",15.6755188358844,"total"
"156",2023-01-30,10,2023-01-28,-2,"fdom",14.4845180496067,"total"
"157",2023-01-31,10,2023-01-28,-3,"fdom",14.7722416082716,"total"
"158",2023-02-01,10,2023-01-28,-4,"fdom",14.9551841189422,"total"
