"","forecast_date","ensemble_member","reference_datetime","Horizon","forecast_variable","value","uc_type"
"1",2023-09-24,1,2023-09-24,0,"fdom",13.7951902018244,"total"
"2",2023-09-25,1,2023-09-24,-1,"fdom",13.03935779286,"total"
"3",2023-09-26,1,2023-09-24,-2,"fdom",13.0565055952762,"total"
"4",2023-09-27,1,2023-09-24,-3,"fdom",12.8348173126783,"total"
"5",2023-09-28,1,2023-09-24,-4,"fdom",12.7440218699601,"total"
"6",2023-09-29,1,2023-09-24,-5,"fdom",13.5297286058533,"total"
"7",2023-09-30,1,2023-09-24,-6,"fdom",13.4311370508664,"total"
"8",2023-10-01,1,2023-09-24,-7,"fdom",13.0055443039751,"total"
"9",2023-10-02,1,2023-09-24,-8,"fdom",12.6253155191645,"total"
"10",2023-10-03,1,2023-09-24,-9,"fdom",12.7931375453344,"total"
"11",2023-10-04,1,2023-09-24,-10,"fdom",12.5840126840084,"total"
"12",2023-10-05,1,2023-09-24,-11,"fdom",11.7625860723486,"total"
"13",2023-10-06,1,2023-09-24,-12,"fdom",12.8919573294256,"total"
"14",2023-10-07,1,2023-09-24,-13,"fdom",13.1361313830302,"total"
"15",2023-10-08,1,2023-09-24,-14,"fdom",13.8440036542043,"total"
"16",2023-10-09,1,2023-09-24,-15,"fdom",13.6236119177673,"total"
"17",2023-10-10,1,2023-09-24,-16,"fdom",14.4348804677429,"total"
"18",2023-09-24,2,2023-09-24,0,"fdom",13.8811489387757,"total"
"19",2023-09-25,2,2023-09-24,-1,"fdom",14.9937034891572,"total"
"20",2023-09-26,2,2023-09-24,-2,"fdom",13.9968032342502,"total"
"21",2023-09-27,2,2023-09-24,-3,"fdom",14.3015938182391,"total"
"22",2023-09-28,2,2023-09-24,-4,"fdom",14.4727251816458,"total"
"23",2023-09-29,2,2023-09-24,-5,"fdom",14.94017660759,"total"
"24",2023-09-30,2,2023-09-24,-6,"fdom",14.9087292808156,"total"
"25",2023-10-01,2,2023-09-24,-7,"fdom",16.0207385146035,"total"
"26",2023-10-02,2,2023-09-24,-8,"fdom",17.2436211018505,"total"
"27",2023-10-03,2,2023-09-24,-9,"fdom",17.924151182822,"total"
"28",2023-10-04,2,2023-09-24,-10,"fdom",18.3407414722928,"total"
"29",2023-10-05,2,2023-09-24,-11,"fdom",18.2632685127888,"total"
"30",2023-10-06,2,2023-09-24,-12,"fdom",17.876885014022,"total"
"31",2023-10-07,2,2023-09-24,-13,"fdom",18.4552831293929,"total"
"32",2023-10-08,2,2023-09-24,-14,"fdom",17.9995105891353,"total"
"33",2023-10-09,2,2023-09-24,-15,"fdom",16.8898494407612,"total"
"34",2023-10-10,2,2023-09-24,-16,"fdom",16.1816257329478,"total"
"35",2023-09-24,3,2023-09-24,0,"fdom",13.7045890974833,"total"
"36",2023-09-25,3,2023-09-24,-1,"fdom",13.8407862933064,"total"
"37",2023-09-26,3,2023-09-24,-2,"fdom",14.6551627906404,"total"
"38",2023-09-27,3,2023-09-24,-3,"fdom",14.7706919843975,"total"
"39",2023-09-28,3,2023-09-24,-4,"fdom",14.6849130121451,"total"
"40",2023-09-29,3,2023-09-24,-5,"fdom",14.4254208696306,"total"
"41",2023-09-30,3,2023-09-24,-6,"fdom",14.6157925464247,"total"
"42",2023-10-01,3,2023-09-24,-7,"fdom",14.6892771404728,"total"
"43",2023-10-02,3,2023-09-24,-8,"fdom",16.0966981195939,"total"
"44",2023-10-03,3,2023-09-24,-9,"fdom",14.6748107376301,"total"
"45",2023-10-04,3,2023-09-24,-10,"fdom",14.5498304204823,"total"
"46",2023-10-05,3,2023-09-24,-11,"fdom",13.9258257569269,"total"
"47",2023-10-06,3,2023-09-24,-12,"fdom",13.1681618171338,"total"
"48",2023-10-07,3,2023-09-24,-13,"fdom",12.086557779105,"total"
"49",2023-10-08,3,2023-09-24,-14,"fdom",11.9562878593528,"total"
"50",2023-10-09,3,2023-09-24,-15,"fdom",12.037967952249,"total"
