"","forecast_date","ensemble_member","reference_datetime","Horizon","forecast_variable","value","uc_type"
"1",2023-07-05,1,2023-07-05,0,"fdom",19.8009162220838,"total"
"2",2023-07-06,1,2023-07-05,-1,"fdom",19.9568644646165,"total"
"3",2023-07-07,1,2023-07-05,-2,"fdom",19.5936423894288,"total"
"4",2023-07-08,1,2023-07-05,-3,"fdom",18.4379932229841,"total"
"5",2023-07-09,1,2023-07-05,-4,"fdom",17.2032350506762,"total"
"6",2023-07-10,1,2023-07-05,-5,"fdom",16.787455035487,"total"
"7",2023-07-11,1,2023-07-05,-6,"fdom",17.2646135319196,"total"
"8",2023-07-12,1,2023-07-05,-7,"fdom",17.0820951097887,"total"
"9",2023-07-13,1,2023-07-05,-8,"fdom",17.8964620300841,"total"
"10",2023-07-14,1,2023-07-05,-9,"fdom",17.8426140658908,"total"
"11",2023-07-15,1,2023-07-05,-10,"fdom",16.8038351326232,"total"
"12",2023-07-16,1,2023-07-05,-11,"fdom",16.982321946345,"total"
"13",2023-07-17,1,2023-07-05,-12,"fdom",17.1068109447428,"total"
"14",2023-07-18,1,2023-07-05,-13,"fdom",17.6792267630602,"total"
"15",2023-07-19,1,2023-07-05,-14,"fdom",17.1707333004014,"total"
"16",2023-07-20,1,2023-07-05,-15,"fdom",17.211413456306,"total"
"17",2023-07-21,1,2023-07-05,-16,"fdom",16.9428851621242,"total"
"18",2023-07-05,2,2023-07-05,0,"fdom",19.62142769232,"total"
"19",2023-07-06,2,2023-07-05,-1,"fdom",19.681566770007,"total"
"20",2023-07-07,2,2023-07-05,-2,"fdom",19.7286910236252,"total"
"21",2023-07-08,2,2023-07-05,-3,"fdom",18.9642669030874,"total"
"22",2023-07-09,2,2023-07-05,-4,"fdom",19.6928715433844,"total"
"23",2023-07-10,2,2023-07-05,-5,"fdom",19.6906752477384,"total"
"24",2023-07-11,2,2023-07-05,-6,"fdom",20.8158245095399,"total"
"25",2023-07-12,2,2023-07-05,-7,"fdom",19.9243913978826,"total"
"26",2023-07-13,2,2023-07-05,-8,"fdom",19.8080002190719,"total"
"27",2023-07-14,2,2023-07-05,-9,"fdom",19.7398025603744,"total"
"28",2023-07-15,2,2023-07-05,-10,"fdom",19.7733940204198,"total"
"29",2023-07-16,2,2023-07-05,-11,"fdom",20.7400515071397,"total"
"30",2023-07-17,2,2023-07-05,-12,"fdom",21.2057538674687,"total"
"31",2023-07-18,2,2023-07-05,-13,"fdom",20.9648756751057,"total"
"32",2023-07-19,2,2023-07-05,-14,"fdom",20.2638193952479,"total"
"33",2023-07-20,2,2023-07-05,-15,"fdom",19.7321337583681,"total"
"34",2023-07-21,2,2023-07-05,-16,"fdom",20.0011024222235,"total"
"35",2023-07-05,3,2023-07-05,0,"fdom",19.7098716295656,"total"
"36",2023-07-06,3,2023-07-05,-1,"fdom",19.1497394003291,"total"
"37",2023-07-07,3,2023-07-05,-2,"fdom",19.0360648396018,"total"
"38",2023-07-08,3,2023-07-05,-3,"fdom",18.5921012952445,"total"
"39",2023-07-09,3,2023-07-05,-4,"fdom",17.0126487099873,"total"
"40",2023-07-10,3,2023-07-05,-5,"fdom",16.1538618263633,"total"
"41",2023-07-11,3,2023-07-05,-6,"fdom",15.9108786057869,"total"
"42",2023-07-12,3,2023-07-05,-7,"fdom",15.3328156063836,"total"
"43",2023-07-13,3,2023-07-05,-8,"fdom",15.0345503205281,"total"
"44",2023-07-14,3,2023-07-05,-9,"fdom",14.5717597389745,"total"
"45",2023-07-15,3,2023-07-05,-10,"fdom",13.8280328706753,"total"
"46",2023-07-16,3,2023-07-05,-11,"fdom",13.8797742958537,"total"
"47",2023-07-17,3,2023-07-05,-12,"fdom",13.8068447267699,"total"
"48",2023-07-18,3,2023-07-05,-13,"fdom",13.0463187343051,"total"
"49",2023-07-19,3,2023-07-05,-14,"fdom",12.7883258113741,"total"
"50",2023-07-20,3,2023-07-05,-15,"fdom",11.1279561093591,"total"
"51",2023-07-21,3,2023-07-05,-16,"fdom",11.824102149722,"total"
"52",2023-07-05,4,2023-07-05,0,"fdom",19.9382147744513,"total"
"53",2023-07-06,4,2023-07-05,-1,"fdom",20.1836785576247,"total"
"54",2023-07-07,4,2023-07-05,-2,"fdom",20.5890434560782,"total"
"55",2023-07-08,4,2023-07-05,-3,"fdom",20.0681197081813,"total"
"56",2023-07-09,4,2023-07-05,-4,"fdom",20.3543951418366,"total"
"57",2023-07-10,4,2023-07-05,-5,"fdom",21.8978965922197,"total"
"58",2023-07-11,4,2023-07-05,-6,"fdom",23.0323096659484,"total"
"59",2023-07-12,4,2023-07-05,-7,"fdom",23.4205458604822,"total"
"60",2023-07-13,4,2023-07-05,-8,"fdom",23.7494733337695,"total"
"61",2023-07-14,4,2023-07-05,-9,"fdom",24.5738435086698,"total"
"62",2023-07-15,4,2023-07-05,-10,"fdom",26.0974115265217,"total"
