"","forecast_date","ensemble_member","reference_datetime","Horizon","forecast_variable","value","uc_type"
"1",2023-01-28,1,2023-01-28,0,"fdom",15.7025909355321,"total"
"2",2023-01-29,1,2023-01-28,-1,"fdom",15.8059813091999,"total"
"3",2023-01-30,1,2023-01-28,-2,"fdom",16.0992888320901,"total"
"4",2023-01-31,1,2023-01-28,-3,"fdom",16.0916187388916,"total"
"5",2023-02-01,1,2023-01-28,-4,"fdom",15.3570626355155,"total"
"6",2023-02-02,1,2023-01-28,-5,"fdom",14.9992326667112,"total"
"7",2023-02-03,1,2023-01-28,-6,"fdom",15.1470228067782,"total"
"8",2023-02-04,1,2023-01-28,-7,"fdom",14.9869443648991,"total"
"9",2023-02-05,1,2023-01-28,-8,"fdom",14.9168609220764,"total"
"10",2023-02-06,1,2023-01-28,-9,"fdom",15.0275548785418,"total"
"11",2023-02-07,1,2023-01-28,-10,"fdom",14.4149161491076,"total"
"12",2023-02-08,1,2023-01-28,-11,"fdom",14.3267208049139,"total"
"13",2023-02-09,1,2023-01-28,-12,"fdom",13.3385666888317,"total"
"14",2023-02-10,1,2023-01-28,-13,"fdom",14.5018018143538,"total"
"15",2023-02-11,1,2023-01-28,-14,"fdom",14.0352611942115,"total"
"16",2023-02-12,1,2023-01-28,-15,"fdom",14.4924868189908,"total"
"17",2023-02-13,1,2023-01-28,-16,"fdom",14.6626733829315,"total"
"18",2023-01-28,2,2023-01-28,0,"fdom",15.6337632143511,"total"
"19",2023-01-29,2,2023-01-28,-1,"fdom",15.6498512363894,"total"
"20",2023-01-30,2,2023-01-28,-2,"fdom",16.054376442379,"total"
"21",2023-01-31,2,2023-01-28,-3,"fdom",16.0581398919147,"total"
"22",2023-02-01,2,2023-01-28,-4,"fdom",15.1330030776707,"total"
"23",2023-02-02,2,2023-01-28,-5,"fdom",14.7118285117596,"total"
"24",2023-02-03,2,2023-01-28,-6,"fdom",14.0760954249669,"total"
"25",2023-02-04,2,2023-01-28,-7,"fdom",14.5402655793235,"total"
"26",2023-02-05,2,2023-01-28,-8,"fdom",14.5984060105474,"total"
"27",2023-02-06,2,2023-01-28,-9,"fdom",15.4962778964054,"total"
"28",2023-02-07,2,2023-01-28,-10,"fdom",15.5912945093114,"total"
"29",2023-02-08,2,2023-01-28,-11,"fdom",15.5593488265358,"total"
"30",2023-02-09,2,2023-01-28,-12,"fdom",14.9488872360599,"total"
"31",2023-02-10,2,2023-01-28,-13,"fdom",16.3798616632141,"total"
"32",2023-02-11,2,2023-01-28,-14,"fdom",17.2064835064625,"total"
"33",2023-02-12,2,2023-01-28,-15,"fdom",16.4738856290458,"total"
"34",2023-02-13,2,2023-01-28,-16,"fdom",16.3902614963945,"total"
"35",2023-01-28,3,2023-01-28,0,"fdom",15.5842412362211,"total"
"36",2023-01-29,3,2023-01-28,-1,"fdom",14.2621876648408,"total"
"37",2023-01-30,3,2023-01-28,-2,"fdom",13.4708420482968,"total"
"38",2023-01-31,3,2023-01-28,-3,"fdom",12.51984553318,"total"
"39",2023-02-01,3,2023-01-28,-4,"fdom",12.3777459704847,"total"
"40",2023-02-02,3,2023-01-28,-5,"fdom",12.5011898369232,"total"
"41",2023-02-03,3,2023-01-28,-6,"fdom",12.1651132647593,"total"
"42",2023-02-04,3,2023-01-28,-7,"fdom",12.156786071794,"total"
"43",2023-02-05,3,2023-01-28,-8,"fdom",12.1247078904989,"total"
"44",2023-02-06,3,2023-01-28,-9,"fdom",11.3231367521432,"total"
"45",2023-02-07,3,2023-01-28,-10,"fdom",12.2626803493878,"total"
"46",2023-02-08,3,2023-01-28,-11,"fdom",11.7203731597651,"total"
"47",2023-02-09,3,2023-01-28,-12,"fdom",11.795310414361,"total"
"48",2023-02-10,3,2023-01-28,-13,"fdom",11.169345582595,"total"
"49",2023-02-11,3,2023-01-28,-14,"fdom",11.6456227387634,"total"
"50",2023-02-12,3,2023-01-28,-15,"fdom",10.6894245436267,"total"
"51",2023-02-13,3,2023-01-28,-16,"fdom",10.382139118445,"total"
"52",2023-01-28,4,2023-01-28,0,"fdom",15.594316939261,"total"
"53",2023-01-29,4,2023-01-28,-1,"fdom",16.6332108691739,"total"
"54",2023-01-30,4,2023-01-28,-2,"fdom",16.0609282292045,"total"
"55",2023-01-31,4,2023-01-28,-3,"fdom",16.7481105855024,"total"
"56",2023-02-01,4,2023-01-28,-4,"fdom",16.2932222891581,"total"
"57",2023-02-02,4,2023-01-28,-5,"fdom",16.1934501109751,"total"
"58",2023-02-03,4,2023-01-28,-6,"fdom",15.7145482690671,"total"
