"","forecast_date","ensemble_member","reference_datetime","Horizon","forecast_variable","value","uc_type"
"1",2023-10-13,1,2023-10-13,0,"fdom",15.4108694633874,"total"
"2",2023-10-14,1,2023-10-13,-1,"fdom",15.6196378468097,"total"
"3",2023-10-15,1,2023-10-13,-2,"fdom",15.5102645917452,"total"
"4",2023-10-16,1,2023-10-13,-3,"fdom",15.5466567481408,"total"
"5",2023-10-17,1,2023-10-13,-4,"fdom",15.5158882861375,"total"
"6",2023-10-18,1,2023-10-13,-5,"fdom",14.5157279044781,"total"
"7",2023-10-19,1,2023-10-13,-6,"fdom",14.0168338568682,"total"
"8",2023-10-20,1,2023-10-13,-7,"fdom",13.8161340969428,"total"
"9",2023-10-21,1,2023-10-13,-8,"fdom",13.3640423734098,"total"
"10",2023-10-22,1,2023-10-13,-9,"fdom",13.6404065284738,"total"
"11",2023-10-23,1,2023-10-13,-10,"fdom",14.1393461782598,"total"
"12",2023-10-24,1,2023-10-13,-11,"fdom",13.9342340731922,"total"
"13",2023-10-25,1,2023-10-13,-12,"fdom",13.5245852455078,"total"
"14",2023-10-26,1,2023-10-13,-13,"fdom",13.9981564189976,"total"
"15",2023-10-27,1,2023-10-13,-14,"fdom",14.4274248929925,"total"
"16",2023-10-28,1,2023-10-13,-15,"fdom",13.8077215681924,"total"
"17",2023-10-29,1,2023-10-13,-16,"fdom",14.3487426269822,"total"
"18",2023-10-13,2,2023-10-13,0,"fdom",15.3519251425319,"total"
"19",2023-10-14,2,2023-10-13,-1,"fdom",14.9793963166321,"total"
"20",2023-10-15,2,2023-10-13,-2,"fdom",15.2724433981303,"total"
"21",2023-10-16,2,2023-10-13,-3,"fdom",15.3247245822642,"total"
"22",2023-10-17,2,2023-10-13,-4,"fdom",15.1276437734148,"total"
"23",2023-10-18,2,2023-10-13,-5,"fdom",15.3426841899021,"total"
"24",2023-10-19,2,2023-10-13,-6,"fdom",15.7183556600031,"total"
"25",2023-10-20,2,2023-10-13,-7,"fdom",14.8345341293673,"total"
"26",2023-10-21,2,2023-10-13,-8,"fdom",15.372846209316,"total"
"27",2023-10-22,2,2023-10-13,-9,"fdom",15.0154076070525,"total"
"28",2023-10-23,2,2023-10-13,-10,"fdom",15.03740700667,"total"
"29",2023-10-24,2,2023-10-13,-11,"fdom",16.1596383140906,"total"
